,ASKVOLL_115_,BRIMNES_179_15,BRIMNES_199_19,BRIMNES_265_17,BRUSALI_129_,BRUSALI_164_20,BRUSALI_199_4,FJELLSE_59_,GJ™RA_199_,HEMNES_175_,HEMNES_315_1,KOPARDAL_99_,LEIRVIK_89_,MALM_169_,MALM_209_2,MALM_249_5,MALM_279_,NESTTUN_99_,NORDLI_279_,TARVA_109_,TRYSIL_115_,TYSSEDAL_275_,UNDREDAL_299_,
117327,4,12,12,12,12,12,12,,4,12,12.00,,,12,12,12,,,,12,12,4,4,NaN
118231,,4,,4,,,,,,,,,,,,,,,,,0,0,0,NaN
118301,,4,,4,,,,,,,,,,,,,,,,,0,0,0,NaN
118325,,NaN,NaN,,,,,,,,,,6,,,,,,,,0,0,0,NaN
118381,,NaN,NaN,,,,,,,,,,1,,,,,,,,0,0,0,NaN
120236,,NaN,NaN,,,,,,,,,,4,,,,,,,,0,0,0,NaN
120237,,NaN,NaN,,,,,,,,,,4,,,,,,,,0,0,0,NaN
120334,,NaN,NaN,,,,,,,,,1,1,,,,,1,,,0,0,0,NaN
_120723,,NaN,NaN,,,,,,,,,,,,,,2,,,,0,0,0,NaN
_121214,,NaN,NaN,,,,,4,,,,,,,,,,,,,0,0,0,NaN
_121370,,2,,2,,,,,,,,,,,,,,,,,0,0,0,NaN
_122628,4,4,4,6,,,,,,,,,,6,6,6,,,,,0,0,0,NaN
_122925,,NaN,NaN,,,,,,,,,,,,,,4,,,,0,0,0,NaN
_122998,,NaN,NaN,,,,,,,,,,,4,4,4,4,,,,0,0,0,NaN
_123015,,NaN,NaN,,,,,2,,,,,,,,,,,,,0,0,0,NaN
_123491,,NaN,NaN,,,,,,,,,,,8,8,8,4,,,,0,0,0,NaN
_123492,,NaN,NaN,,,,,,,,,,,,16,16,,,,,0,0,0,NaN
_123502,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,16,16,,,,,0,0,0,NaN
_123848,,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,,,2,,,,0,0,0,NaN
_123849,,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,,,2,,,,0,0,0,NaN
_123850,,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,,,4,,,,0,0,0,NaN
_123851,,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,,,4,,,,0,0,0,NaN
_123852,,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,,,2,,,,0,0,0,NaN
124249,,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,,,4,,,,0,0,0,NaN
124252,,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,,,4,,,,0,0,0,NaN
124389,,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,,,1,,,,0,0,0,NaN
124390,,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,,,1,,,,0,0,0,NaN
124396,,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,,,6,,,,0,0,0,NaN
124401,2,NaN,NaN,,,,,,2,,,,,,,,,,,,0,2,2,NaN
124402,1,NaN,NaN,,,,,,1,,,,,,,,,,,,0,1,1,NaN
124435,,NaN,NaN,,,,,,,,,13,,,,,,,,,0,0,0,NaN
124573,,NaN,NaN,,,,,,,,,,,,,,1,,,,0,0,0,NaN
124584,,NaN,NaN,,,,,,,,,,,,,,6,,,,0,0,0,NaN
124585,,NaN,NaN,,,,,,,,,,,,,,4,,,,0,0,0,NaN
124663,,NaN,NaN,,,,,,,,,,,,,,64,,,,0,0,0,NaN
126867,,NaN,NaN,,,,,,,,,4,,,,,,4,,,0,0,0,NaN
128780,,NaN,NaN,,,,,,,,,,,,,,,,,8,0,0,0,NaN
130487,,NaN,NaN,,,,,,,,,1,1,,,,,1,,,0,0,0,NaN
139163,,NaN,NaN,,,,,,,,,,,,,,,,3,,0,0,0,NaN
139164,,NaN,NaN,,,,,,,,,,,,,,,,3,,0,0,0,NaN
139251,,NaN,NaN,,,,,,,,,,,,,,,,12,,0,0,0,NaN
139301,2,NaN,NaN,,,,,,2,,,,,,,,,,,,0,2,2,NaN
139430,8,NaN,NaN,,,,,,,,,,,,,,,,,,0,0,0,NaN
141251,,NaN,NaN,,,,,,,,,,,,,,,,,,0,4,0,NaN
141252,,NaN,NaN,,,,,,,,,,,,,,,,,,0,0,6,NaN
142401,,NaN,NaN,,,,,,,,,,,,,,,,,,0,4,0,NaN
142402,,NaN,NaN,,,,,,,,,,,,,,,,,,0,0,4,NaN
144984,,NaN,NaN,,,,,,4,,,,,,,,,,,,0,0,0,NaN
153552,,NaN,NaN,,,,,,4,,,,,,,,,,,,0,0,0,NaN
100230/105890,,NaN,NaN,,,,,,,,,,,,,,,,,,4,0,0,NaN
113434/122332,,NaN,NaN,,,,,,,8,8.00,,,,,,,,,,0,0,0,NaN
115754/118225,,NaN,NaN,2,,,,,,,,,,,,,,,,,0,0,0,NaN
118331/112996,,26,,54,6,28,28,,,8,30.00,,,,,,,,12,,2,0,0,NaN
119030/118224,,16,,16,,,,,,,,,,,,,,,12,,0,0,0,NaN
119252/119250,,,,,,22,22,,,,,,,,,,,,,,0,0,0,NaN
119253/118137,,,,40,18,18,18,,,,,,,,,,,,,,0,0,0,NaN
124328/128763,,4,,4,,,,,,,,,,,,,,,,,0,0,0,NaN
126860/110789,20,20,20,20,16,16,16,,20,16,16.00,,,20,20,20,,,,,50,0,20,NaN
128437/128438,,,,,,,,,,,,,,,,,,,,,4,0,0,NaN
